road_address,x,y
서울 중랑구 동일로 483,127.079752424193,37.5735627859187,면목 두원 경비실 
서울 중랑구 동일로 476,127.080474957883,37.5737484410794,"면목 늘푸른 동아 1초소, 3초소 (101동, 104동)"
서울 중랑구 답십리로75길 73,127.080481152665,37.5768749774403,"경남 아너스빌 101동, 102동, 103동, 107동"
서울 중랑구 용마산로 285,127.089908440848,37.5776001414221,"대원 칸타빌 101동, 102동 사이 쓰레기 선별장"
서울 중랑구 용마산로 271,127.089649709977,37.5773668906516,"면목 금호 어울림 102동, 103동 건물 안쪽"
서울 중랑구 용마산로 259,127.088423795584,37.5764084367778,면목 삼호 101동 건물 뒷쪽 
서울 중랑구 용마산로112가길 34,127.101898667181,37.5971454492592,예성 아파트 101동 음식물 선별장 (망우본동 삼룡사 옆)
서울 중랑구 용마산로94다길 21,127.100776326445,37.5887081765276,면목 라이프미성 경비실
서울 중랑구 용마산로94길 101,127.102393893417,37.5883342241297,완성빌라 경비실 (망우3동 면일초교 뒤쪽)
서울 중랑구 용마산로94길 91,127.101693609071,37.5878352293087,면목 진로 아파트 정문 입구
서울 중랑구 용마산로86길 9-27,127.096060534833,37.5873662061942,"신성 미소지움 1차  101동 1,2호 입구"
서울 중랑구 용마산로86길 9-14,127.096259940853,37.5867684154361,신성 미소지움 2차 201동
서울 중랑구 용마산로84길 9-15,127.095584103353,37.5861306114025,온세 솔내음 지하 주차장
서울 중랑구 용마산로 348,127.094371404549,37.5835281683818,용마 금호타운 2동 
서울 중랑구 사가정로71길 19,127.095052598876,37.5808368956261,용마 한신 1차 1동 앞 상가 오른쪽 
서울 중랑구 사가정로71길 19,127.095052598876,37.5808368956261,용마 한신 2차 101동 
서울 중랑구 용마산로62길 43,127.094611547794,37.5784385346157,용마 동아 102동 경비실 옆
서울 중랑구 용마산로 290,127.091358900658,37.5777367897826,용마산 금호 어울림 102동
서울 중랑구 용마산로 278,127.090939526414,37.577412034973,용마산 성원 101동 창고 안쪽
서울 중랑구 용마산로 252,127.089222458333,37.5751759965089,"면목 현대 IPARK 101동, 102동, 103동, 104동 사이에"
서울 중랑구 용마산로 228,127.088301152119,37.5741674853751,"면목 도시개발(SH 면목) 101동, 103동"
서울 중랑구 용마산로 210,127.087074184814,37.5718558136838,"용마산 코오롱 하늘채 104동, 105동"
서울 중랑구 동일로109가길 5,127.078706865845,37.5922400860881,현대 휴온 정문 왼쪽 (동부시장)
서울 중랑구 망우로26길 43,127.072200413223,37.5912130601645,면목 풍림 지하 입구 (중랑 세무서)
서울 중랑구 중랑천로 43,127.072500066072,37.5892833117345,면목 신성은하수 101동 창고 안쪽 (중랑전화국)
서울 중랑구 중랑천로 14,127.074607809126,37.5868559860088,일신 강변 관리실 (면묵2동)
서울 중랑구 봉우재로6길 19,127.076995277743,37.5892548769076,솔루테 쓰레기 선별장 (면묵2동)
서울 중랑구 동일로101길 63,127.076312487076,37.5885435363865,"면목 한신 1동, 7동, 8동 건물 옆쪽"
서울 중랑구 중랑천로 8,127.074945908236,37.586425818121,면목 형진  지하 입구 (면묵2동)
서울 중랑구 신내역로 165,127.109756130023,37.6165592295041,"신내 우디안 2단지  3, 5, 6, 9, 10, 12, 13, 15, 20, 22동 분리 수거장"
서울 중랑구 신내역로1길 142,127.11035297222,37.6176622027121,신내 우디안 3단지 건물 안쪽
서울 중랑구 신내역로 160,127.111456996121,37.6167551318307,"신내 우디안 4단지 401동, 403동 분리 수거장"
서울 중랑구 신내로16길 33,127.097663011906,37.6141744003285,"신내 의료안심주택 1동, 2동 쓰레기 분리장"
서울 중랑구 신내동 63-10,127.102745990544,37.6142531553636,중랑 공영 차고지 안쪽 정비실 앞  (※ 전화오면 방문 수거)
서울 중랑구 송림길 124,127.105519809475,37.6054517399491,개나리 아파트 정문 입구 (양원역) ※수거함 망가짐.
서울 중랑구 양원역로 53,127.106221364626,37.6053562364014,신일 3차연립 가동 왼쪽 (회색 수거함)
서울 중랑구 양원역로 49,127.106364340119,37.6048383989798,대보 아파트 101동
서울 중랑구 양원역로 37,127.107071806275,37.6038149556823,경남 아파트 7동 경비실
서울 중랑구 망우로81길 27,127.106227064414,37.6029136479351,염광 아파트 쓰레기 선별장(의류 수거함 옆) 
서울 중랑구 망우로75길 19,127.104896125324,37.6017262522479,"중랑숲 리가 101동, 102동, 104동, 109동 "
서울 중랑구 양원역로 18,127.108648043621,37.6027743133849,"망우 금호 어울림 106동, 108동, 112동 "
서울 중랑구 양원역로6가길 19,127.109841273166,37.6032912781038,중랑 한진 해모로 후문 경비실 옆 
서울 중랑구 망우로 506,127.108305302692,37.6002320341124,망우동 신원 101동 
서울 중랑구 망우로 504-10,127.107975055293,37.6001285426107,금호 아파트 105동 어린이 놀이시설과 주차장 입구 사이
서울 중랑구 용마산로116길 76,127.104811467931,37.5995814298586,청광 오뜨빌 경비실 
서울 중랑구 망우로74길 58,127.104605177148,37.5979062207927,현대 빌라 쓰레기 선별장 
서울 중랑구 망우로76길 51,127.106302078245,37.5984089891568,한울네 세창 아파트 아파트 정문 입구 오른쪽 
서울 중랑구 겸재로48길 13,127.090908504056,37.5883022730701,남청 파인빌 경비실 (면목역 2번출구)
서울 중랑구 면목로23길 20,127.083439043719,37.5748917275114,중곡초등학교 지하주차장 입구 왼쪽 창고 안 (※ 전화오면 방문 수거)
