연번,주           소,아파트 명,위                    치 ,보유 수량
111,중랑구 사가정로 71길 19,용마 한신 2차,101동 ,1
112,중랑구 용마산로62길 43,용마 동아,102동 경비실 옆,1
113,중랑구 용마산로 290,용마산 금호 어울림,102동,1
114,중랑구 용마산로 278,용마산 성원,101동 창고 안쪽,1
115,중랑구 용마산로 252,면목 현대 IPARK,"101동, 102동, 103동, 104동 사이에",3
116,서울 중랑구 용마산로 228,면목 도시개발(SH 면목),"101동, 103동",2
117,중랑구 용마산로 210,용마산 코오롱 하늘채,"104동, 105동",2
118,중랑구 동일로 109가길 5,현대 휴온,정문 왼쪽 (동부시장),1
119,중랑구 망우로 26길 43,면목 풍림,지하 입구 (중랑 세무서),1
120,중랑구 중랑천로 43,면목 신성은하수,101동 창고 안쪽 (중랑전화국),1
121,중랑구 중랑천로 14,일신 강변,관리실 (면묵2동),1
122,중랑구 봉우재로 6길 19,솔루테,쓰레기 선별장 (면묵2동),1
123,중랑구 동일로 101길 63,면목 한신,"1동, 7동, 8동 건물 옆쪽",3
124,중랑구 중랑천로 8,면목 형진 ,지하 입구 (면묵2동),1
125,중랑구 신내로역1길 85,신내 우디안 1단지,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16동 분리 수거장",15
126,중랑구 신내역로 165,신내 우디안 2단지 ,"3, 5, 6, 9, 10, 12, 13, 15, 20, 22동 분리 수거장",10
127,중랑구 신내역로 1길 142,신내 우디안 3단지,건물 안쪽,1
128,중랑구 신내역로 160,신내 우디안 4단지,"401동, 403동 분리 수거장",2
129,중랑구 신내로16길 33,신내 의료안심주택,"1동, 2동 쓰레기 분리장",2
130,중랑구 신내동 63-10,중랑 공영 차고지,안쪽 정비실 앞  (※ 전화오면 방문 수거),1
131,중랑구 송림길 124,개나리 아파트,정문 입구 (양원역) ※수거함 망가짐.,1
132,중랑구 양원역로 53,신일 3차연립,가동 왼쪽 (회색 수거함),1
133,중랑구 양원역로 49,대보 아파트,101동,1
134,중랑구 양원역로 37,경남 아파트,7동 경비실,1
135,중랑구 망우로 81길 27,염광 아파트,쓰레기 선별장(의류 수거함 옆) ,1
136,중랑구 망우로 75길 19,중랑숲 리가,"101동, 102동, 104동, 109동 ",4
137,중랑구 양원역로 18,망우 금호 어울림,"106동, 108동, 112동 ",3
138,중랑구 양원역로 6가길 19,중랑 한진 해모로,후문 경비실 옆 ,1
139,중랑구 망우로 506,망우동 신원,101동 ,1
140,중랑구 망우로 504-10,금호 아파트,105동 어린이 놀이시설과 주차장 입구 사이,1
141,중랑구 용마산로 116길 76,청광 오뜨빌,경비실 ,1
142,중랑구 망우로 74길 58 ,현대 빌라,쓰레기 선별장 ,1
143,중랑구 망우로 76길 51 ,한울네 세창 아파트,아파트 정문 입구 오른쪽 ,1
144,중랑구 겸재로 48길 13,남청 파인빌,경비실 (면목역 2번출구),1
145,중랑구 면목로 23길 20,중곡초등학교,지하주차장 입구 왼쪽 창고 안 (※ 전화오면 방문 수거),1
