연번,장소,설치수량,행정동,종류,주소,위도,경도
98,대우그린아파트,1,창1동,수거함,서울특별시 도봉구 덕릉로 371,37.6461118051,127.0496391845
99,동진빌라,1,창1동,수거함,서울특별시 도봉구 해등로 81,37.6508327752,127.0407038073
100,동사무소,1,창2동,수거함,서울특별시 도봉구 덕릉로59길 73-3,37.6413898,127.0356396
101,건영아파트,1,창2동,수거함,서울특별시 도봉구 우이천로20길 7,37.6412989,127.0339955
102,한신아파트,1,창2동,수거함,서울특별시 도봉구 도봉로110다길 5,37.6456910,127.0348236
103,태영아파트,1,창2동,수거함,서울특별시 도봉구 도봉로110다길 51,37.6428627,127.0333996
104,대우아파트,1,창2동,수거함,서울특별시 도봉구 덕릉로63가길 43,37.6429227880,127.0387778224
105,금용아파트,1,창2동,수거함,서울특별시 도봉구 우이천로 200,37.6375646376,127.0359154012
106,DK포시즌아파트,1,창2동,수거함,서울특별시 도봉구 덕릉로 283,37.6423454,127.0412270
107,현대홈씨티,1,창2동,수거함,서울특별시 도봉구 도봉로106길 22,37.6443448,127.0337226
108,수산아파트,1,창2동,수거함,서울특별시 도봉구 우이천로20길 6 ,37.6404159120,127.0340314265
109,ESA아파트,1,창2동,수거함,서울특별시 도봉구 덕릉로59차길 37,37.6402476,127.0353461
110,동사무소,1,창3동,수거함,서울특별시 도봉구 덕릉로62길 89,37.6381103,127.0428666
111,한신아파트,1,창3동,수거함,서울특별시 도봉구 덕릉로60바길 21,37.6389973416,127.0410191214
112,신창아파트,1,창3동,수거함,서울특별시 도봉구 덕릉로62길 13,37.6408568,127.0418875
113,대신빌라,1,창3동,수거함,서울특별시 도봉구 덕릉로60카길 12,37.6372226,127.0418401
114,신도브래뉴,1,창3동,수거함,서울특별시 도봉구 우이천로4라길 11-4,37.6334361401,127.0419314598
115,한승미메이드,1,창3동,수거함,서울특별시 도봉구 덕릉로60길 164-13,37.6330531,127.0430073
116,동사무소,1,창4동,수거함,서울특별시 도봉구 노해로 390,37.6522376768,127.051537973
117,19단지상가,1,창4동,수거함,서울특별시 도봉구 노해로70길 46,37.6501755,127.0513911
118,동아아파트(2),2,창4동,수거함,서울특별시 도봉구 노해로70길 12,37.6507501155,127.0495244210
119,주공19단지(아)(2),2,창4동,수거함,서울특별시 도봉구 노해로70길 19,37.6507919313,127.0528242654
120,주공17단지아파트,1,창4동,수거함,서울특별시 도봉구 덕릉로66길17,37.6439505,127.0533207
121,주공18단지아파트,1,창4동,수거함,서울특별시 도봉구 노해로70길126,37.6472711141,127.0523186642
122,창동성원아파트,1,창4동,수거함,서울특별시 도봉구 마들로16길56,37.6607446,127.0496053
123,쌍용아파트(2),2,창4동,수거함,서울특별시 도봉구 마들로 551,37.6594614287,127.0480342372
124,쌍용상가,1,창4동,수거함,서울특별시 도봉구 마들로 551,37.6594614287,127.0480342372
125,동아청솔아파트(2),2,창4동,수거함,서울특별시 도봉구 노해로69길 103,37.6577850907,127.0492752377
126,창동현대2차아파트,1,창4동,수거함,서울특별시 도봉구 도봉로136길 111,37.6616424655,127.0463809607
127,창동현대3차아파트,1,창4동,수거함,서울특별시 도봉구 도봉로136길 111,37.6616424655,127.0463809607
128,창동현대4차아파트,1,창4동,수거함,서울특별시 도봉구 노해로69가길 54,37.6588125,127.0462219
129,창동체육관,1,창4동,수거함,서울특별시 도봉구 노해로69길 132,37.6582713,127.0506149
130,동도센트리움아파트,1,창4동,수거함,서울특별시 도봉구 마들로 579-19,37.6615891,127.0452774
131,도봉경찰서 내,1,창4동,수거함,서울특별시 도봉구 노해로 403,37.6537018,127.0528025
132,동사무소,1,창5동,수거함,서울특별시 도봉구 도봉로136나길 20,37.6562098,127.0434809
133,동아그린아파트,1,창5동,수거함,서울특별시 도봉구 노해로63다길 34,37.6552636260,127.0460959475
134,창5동경로당,1,창5동,수거함,서울특별시 도봉구 도봉로136가길 73,37.6554883,127.0427387
135,상아1차아파트,1,창5동,수거함,서울특별시 도봉구 해등로 118,37.6540362,127.0424480
136,상아2차아파트,1,창5동,수거함,서울특별시 도봉구 노해로63가길 7,37.6532577,127.0441024
137,주공1단지아파트,1,창5동,수거함,서울특별시 도봉구 해등로 113,37.6536270,127.0394399
138,주공2단지아파트,1,창5동,수거함,서울특별시 도봉구 해등로12길 44,37.6527374,127.0420601
139,대동아파트,1,창5동,수거함,서울특별시 도봉구 도봉로 642-30,37.6616531,127.0441715
140,현대연합아파트,1,창5동,수거함,서울특별시 도봉구 해등로16길 12,37.6558439,127.0406987
141,신도브래뉴아파트,1,창5동,수거함,서울특별시 도봉구 도봉로136나길 40,37.6563166642,127.0442924442
142,북한산아이파크아파트,2,창5동,수거함,서울특별시 도봉구 도봉로136길 28,37.6578429,127.0435358
143,대림그린아파트,1,창5동,수거함,서울특별시 도봉구 노해로63길 67,37.6529104577,127.0455868143
144,한신아파트,1,창5동,수거함,서울특별시 도봉구 도봉로136가길 73,37.6554883,127.0427387
145,미소애아파트,1,창5동,수거함,서울특별시 도봉구 해등로 139,37.6558021,127.0402108
146,동사무소,1,도봉1동,수거함,서울특별시 도봉구 도봉로169나길 22,37.6786704,127.0433569
147,도봉서울가든(아),1,도봉1동,수거함,서울특별시 도봉구 도봉산길 35,37.6864633,127.0414541
148,럭키아파트,1,도봉1동,수거함,서울특별시 도봉구 도봉로 851,37.6803977957,127.0450050731
149,도봉고등학교,1,도봉1동,수거함,서울특별시 도봉구 도봉산길 27,37.6867707,127.0428051
150,성황당경로당,1,도봉1동,수거함,서울특별시 도봉구 도봉로165길 28-8,37.6774697,127.0433950
151,동사무소,1,도봉2동,수거함,서울특별시 도봉구 마들로 668,37.6696229,127.0465415
152,한신아파트(4),4,도봉2동,수거함,서울특별시 도봉구 마들로 859,37.6862598,127.0480152
153,서원도봉(아),1,도봉2동,수거함,서울특별시 도봉구 마들로 684-20,37.6698591614,127.0470072147
154,도봉2동경로당,1,도봉2동,수거함,서울특별시 도봉구 도봉로162길 12-9,37.6745036,127.0456255
155,도봉경로당,1,도봉2동,수거함,서울특별시 도봉구 마들로 835,37.6841853,127.0506781
156,현대성우아파트,1,도봉2동,수거함,서울특별시 도봉구 마들로 735-8,37.6763021,127.0476373
157,동아에코빌(아),1,도봉2동,수거함,서울특별시 도봉구 도봉로180길 6-23,37.6819250727,127.0470102929
158,극동아파트,1,도봉2동,수거함,서울특별시 도봉구 도봉로180길 77,37.6826232928,127.0493098018
159,유원아파트,1,도봉2동,수거함,서울특별시 도봉구 도봉로180길 50,37.6817702,127.0502996
160,삼환도봉아파트,1,도봉2동,수거함,서울특별시 도봉구 도봉로180길 6-83,37.6812394077,127.0492680746
161,도봉서광아파트,1,도봉2동,수거함,서울특별시 도봉구 마들로 770,37.6790154304,127.0501281459
162,주공1단지(아),1,도봉2동,수거함,서울특별시 도봉구 도봉로180길 83-14,37.6829494,127.0507188
163,주공2단지(아),1,도봉2동,수거함,서울특별시 도봉구 마들로 835,37.6841853,127.0506781
164,중흥S클래스,1,도봉2동,수거함,서울특별시 도봉구 도봉로180가길 32,37.6848884,127.0471375
165,도봉래미안아파트,1,도봉2동,수거함,서울특별시 도봉구  도봉로170길40,37.6795941,127.0464865
166,숭미초등학교,,쌍문1동,운반함박스,서울특별시 도봉구 노해로 179,37.6508453,127.0279643
167,쌍문초등학교,,쌍문1동,운반함박스,서울특별시 도봉구 우이천로 360,37.6489734,127.0243080
168,백운초등학교,,쌍문1동,운반함박스,서울특별시 도봉구 삼양로146길 17,37.6532035,127.0139875
169,백운중학교,,쌍문2동,운반함박스,서울특별시 도봉구 도봉로129길 50,37.6563724,127.0358991
170,창경초등학교,,쌍문2동,운반함박스,서울특별시 도봉구 도봉로129길 54,37.6561144,127.0347544
171,시그마팰리스,,쌍문2동,운반함박스,서울특별시 도봉구 도봉로 601,37.6583968,127.0400754
172,에덴아파트,,쌍문2동,운반함박스,서울특별시 도봉구 도봉로137길 31,37.6604107,127.0396392
173,미래빌라,,쌍문2동,운반함박스,서울특별시 도봉구 도봉로125길 55,37.6549402,127.0362758
174,벽산아파트,,쌍문2동,운반함박스,서울특별시 도봉구 도당로 7,37.6587508,127.0347634
175,창도초등학교,,방학1동,운반함박스,서울특별시 도봉구 방학로 32-28,37.6638310,127.0490956
176,도봉소방서,,방학1동,운반함박스,서울특별시 도봉구 도봉로 666,37.6640118,127.0433762
177,신방학초등학교,,방학3동,운반함박스,서울특별시 도봉구 시루봉로 173,37.6659578,127.0292294
178,신학초교,,방학3동,운반함박스,서울특별시 도봉구 방학로 247-21,37.6609904,127.0255131
179,신방학중교,,방학3동,운반함박스,서울특별시 도봉구 시루봉로 156,37.6636445,127.0295168
180,KT도봉지점,,창1동,운반함박스,서울특별시 도봉구 도봉로110길 25,37.6463887,127.0350831
181,창림초등학교,,창2동,운반함박스,서울특별시 도봉구 덕릉로63길 46,37.6429724,127.0415487
182,신화초등학교,,창3동,운반함박스,서울특별시 도봉구 우이천로 120,37.6326698,127.0408596
183,신창초등학교,,창3동,운반함박스,서울특별시 도봉구 덕릉로60길 93,37.6361731,127.0421969
184,자운초등학교,,창4동,운반함박스,서울특별시 도봉구 마들로13길 166,37.6577174,127.0463946
185,노곡중학교,,창4동,운반함박스,서울특별시 도봉구 노해로70길 95,37.6485909,127.0535610
186,창동초등학교,,창5동,운반함박스,서울특별시 도봉구 해등로16길 81,37.6551924,127.0446861
187,구민회관,,창5동,운반함박스,서울특별시 도봉구 도봉로 552,37.6540005,127.0386044
188,북부교욱청,,창5동,운반함박스,서울특별시 도봉구 노해로 313,37.6516859,127.0433904
189,이마트할인점,,창5동,운반함박스,서울특별시 도봉구 노해로65길 4,37.6516821,127.0469330
190,㈜금호조명손치용,,도봉1동,운반함박스,서울특별시 도봉구 도봉로 905,37.6853815,127.0457197
191,누원초등학교,,도봉2동,운반함박스,서울특별시 도봉구 마들로 859-44,37.6869304,127.0490694
192,도봉중학교,,도봉2동,운반함박스,서울특별시 도봉구 마들로 671,37.6707284,127.0459742
193,북부지청,,도봉2동,운반함박스,서울특별시 도봉구 마들로 747,37.6763437,127.0458785
