관내 폐형광등(폐건전지) 수거함 현황(2020년 6월),,,,,,,,,,,,,,,,,,,
연번,관리번호,위치,단지 내 여부,번지,재질,비고,,,,,,,,,,,,,
197,시흥2동-30,관악우방 아파트 106동1,단지 내,1011,스텐,,,,,,,,,,,,,,
198,시흥2동-31,관악우방 아파트 106동2,단지 내,1011,스텐,,,,,,,,,,,,,,
199,시흥2동-32,탑스빌 아파트,단지 내,268-46,스텐,,,,,,,,,,,,,,
200,시흥2동-33,시흥2동 주민센터 지하주차장 입구,주민센터,267-9,스텐,,,,,,,,,,,,,,
201,시흥2동-34,행복한 우리교회,공유지,1006,스텐,,,,,,,,,,,,,,
202,시흥2동-35,청담사회복지관,공유지,241-7,스텐,,,,,,,,,,,,,,
203,시흥2동-36,청소년 수련관,공유지,산84-17,스텐,,,,,,,,,,,,,,
204,시흥2동-37,벽산 501동,단지 내,1013,스텐,,,,,,,,,,,,,,
205,시흥2동-38 ,벽산 1단지 117동 ,단지 내,1010,스텐,스티커 없음(새로 발견),,,,,,,,,,,,,
206,시흥2동-39,벽산 1단지 116동 입구,단지 내,1010,스텐,스티커 없음(새로 발견),,,,,,,,,,,,,
207,시흥2동-40,벽산 5단지 524동,단지 내,1013,스텐,스티커 없음(새로 발견),,,,,,,,,,,,,
208,시흥2동-41,"벽산 5단지 508동 1,2호 라인",단지 내,1013,스텐,,,,,,,,,,,,,,
209,시흥3동-1,현대빌라 정문,단지 내,982,스텐,,,,,,,,,,,,,,
210,시흥3동-2,현대빌라 후문,단지 내,982,스텐,,,,,,,,,,,,,,
211,시흥3동-3,중앙하이츠 2동,단지 내,1005,스텐,,,,,,,,,,,,,,
212,시흥3동-4,중앙하이츠 7동,단지 내,1005,스텐,,,,,,,,,,,,,,
213,시흥3동-5,대도연립,단지 내,983-15,스텐,,,,,,,,,,,,,,
214,시흥3동-7,국제빌라,공유지,949,스텐,,,,,,,,,,,,,,
215,시흥3동-8,영일빌라,단지 내,655-5,스텐,,,,,,,,,,,,,,
